Nombre,ID,Conteo,Temp,Hum,Rad,Fecha
1,2,26,13.4,64.2,0,18/12/15 1:04
2,2,28,13,64.8,0,18/12/15 1:08
3,2,21,13.3,64.1,0,18/12/15 1:12
4,2,5,13.4,64.8,0,18/12/15 1:16
5,2,15,13,64.7,0,18/12/15 1:20
6,2,27,13.8,64.2,0,18/12/15 1:24
7,2,25,13,64.9,0,18/12/15 1:28
8,2,22,14,64.3,0,18/12/15 1:32
9,2,11,13,64.9,0,18/12/15 1:36
10,2,30,13.8,64.6,0,18/12/15 1:40
11,2,6,13.1,64.4,0,18/12/15 1:44
12,2,24,13.4,67.5,0,18/12/15 1:48
13,2,30,13.8,67,0,18/12/15 1:52
14,2,8,13.8,67.3,0,18/12/15 1:56
15,2,30,13.9,67.3,0,18/12/15 2:00
16,2,28,13.8,67.8,0,18/12/15 2:04
17,2,20,13.4,67.5,0,18/12/15 2:08
18,2,27,13.6,67.5,0,18/12/15 2:12
19,2,15,13.2,71,0,18/12/15 2:16
20,2,27,13.3,70.1,0,18/12/15 2:20
21,2,26,13.9,70.3,0,18/12/15 2:24
22,2,16,13.1,70.9,0,18/12/15 2:28
23,2,14,13.9,70.9,0,18/12/15 2:32
24,2,10,13.9,70.9,0,18/12/15 2:36
25,2,30,13.5,70.7,0,18/12/15 2:40
26,2,11,14,70.1,0,18/12/15 2:44
27,2,11,12.8,70.7,0,18/12/15 2:48
28,2,17,12,70.1,0,18/12/15 2:52
29,2,30,13,70.6,0,18/12/15 2:56
30,2,28,12.1,70.2,0,18/12/15 3:00
31,2,7,12.7,70.5,0,18/12/15 3:04
32,2,5,12.3,70.6,0,18/12/15 3:08
33,2,20,12.1,70.6,0,18/12/15 3:12
34,2,19,12,70.7,0,18/12/15 3:16
35,2,13,12.6,70.3,0,18/12/15 3:20
36,2,30,12.3,70.6,0,18/12/15 3:24
37,2,16,12.9,70.9,0,18/12/15 3:28
38,2,13,12,70.7,0,18/12/15 3:32
39,2,24,12.8,70.1,0,18/12/15 3:36
40,2,23,12.2,70.8,0,18/12/15 3:40
41,2,6,12.3,70.5,0,18/12/15 3:44
42,2,21,12.2,70.7,0,18/12/15 3:48
43,2,17,12.3,70.5,0,18/12/15 3:52
44,2,19,12.1,70.1,0,18/12/15 3:56
45,2,9,12.9,83.6,0,18/12/15 4:00
46,2,29,13,84,0,18/12/15 4:04
47,2,25,12.1,83.3,0,18/12/15 4:08
